SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,LACKS_PLUS_MINUS
ACCT:D001A:01Z,FINAN ACCOUNTNG I,Mary Breen,,2,4,2,1,1,2,1,3,0,1,1,0,11,4,Spring,2024,0
ACCT:D001A:02Y,FINAN ACCOUNTNG I,Sandra Li,,9,8,3,2,5,3,2,3,0,0,0,1,1,9,Spring,2024,0
ACCT:D001A:03Y,FINAN ACCOUNTNG I,Jeffrey West,,4,5,1,3,3,2,3,3,0,0,5,0,3,9,Spring,2024,0
ACCT:D001A:04Y,FINAN ACCOUNTNG I,Lydia Botsford,,0,5,3,2,2,0,0,4,0,0,3,0,8,5,Spring,2024,0
ACCT:D001A:05Z,FINAN ACCOUNTNG I,Sandra Li,,10,7,2,4,7,0,3,3,0,0,0,0,0,2,Spring,2024,0
ACCT:D001A:06Z,FINAN ACCOUNTNG I,Mahalakshmi Ramamurthy,,2,9,8,3,2,3,1,3,0,0,2,0,5,1,Spring,2024,0
ACCT:D001A:66Z,FINAN ACCOUNTNG I,Mary Breen,,1,3,3,2,1,7,1,2,0,0,2,4,11,5,Spring,2024,0
ACCT:D001B:02Y,FINAN ACCOUNTG II,Jeffrey West,,7,7,3,5,1,5,0,3,0,1,1,0,0,2,Spring,2024,0
ACCT:D001B:03Y,FINAN ACCOUNTG II,Kevin Mello,,1,4,7,4,1,2,2,4,0,2,5,0,0,2,Spring,2024,0
ACCT:D001B:04Y,FINAN ACCOUNTG II,Lakshmamma Venkata,,0,3,1,2,2,2,0,3,0,0,0,0,8,1,Spring,2024,0
ACCT:D001B:04Z,FINAN ACCOUNTG II,Mahalakshmi Ramamurthy,,0,2,3,4,8,2,4,7,0,0,1,0,1,1,Spring,2024,0
ACCT:D001B:05Z,FINAN ACCOUNTG II,Michael Riordan,,0,31,0,1,4,0,0,3,0,0,0,0,0,2,Spring,2024,0
ACCT:D001B:68Z,FINAN ACCOUNTG II,Lydia Botsford,,0,15,9,0,8,3,2,6,0,0,0,0,1,2,Spring,2024,0
ACCT:D001B:69Z,FINAN ACCOUNTG II,Lydia Botsford,,0,7,11,3,7,4,0,5,0,0,0,0,0,2,Spring,2024,0
ACCT:D001C:01Y,MANAG ACCOUNTG,Kevin Mello,,6,9,7,4,2,9,4,4,0,0,0,0,0,0,Spring,2024,0
ACCT:D001C:01Z,MANAG ACCOUNTG,Lakshmamma Venkata,,1,5,1,1,3,9,5,7,0,0,0,0,1,1,Spring,2024,0
ACCT:D001C:02Y,MANAG ACCOUNTG,Catherina Wong,,18,12,6,3,2,0,1,2,0,0,0,0,0,0,Spring,2024,0
ACCT:D001C:05Z,MANAG ACCOUNTG,Richard Claire,,1,13,18,8,2,2,1,4,0,0,0,0,0,1,Spring,2024,0
ACCT:D001C:64Z,MANAG ACCOUNTG,Lawrence Osborne,,2,19,7,5,5,0,1,3,0,0,0,0,0,0,Spring,2024,0
ACCT:D001C:65Z,MANAG ACCOUNTG,Lih Hung,,4,22,7,5,1,5,0,1,0,0,0,0,1,0,Spring,2024,0
ACCT:D001C:68Z,MANAG ACCOUNTG,Sandra Li,,7,6,5,5,7,1,5,6,0,0,0,0,1,2,Spring,2024,0
ACCT:D01CH:02Y,MANAGERIAL ACCT-HONORS,Catherina Wong,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Spring,2024,0
ACCT:D051A:64Z,INT ACCOUNTING,Kevin Mello,,0,4,9,5,0,2,2,2,0,0,0,2,0,2,Spring,2024,0
ACCT:D058.:64Z,AUDITING,John Lord,,3,16,7,4,5,1,0,0,0,0,0,0,0,0,Spring,2024,0
ACCT:D064.:64Z,PAYROLL/BUS TAX ACCT,Laurienne Hammond,,0,10,3,3,4,2,2,2,0,0,0,0,0,0,Spring,2024,0
ACCT:D067.:64Z,INDIVIDUAL INCOME TAXATION,Lydia Botsford,,0,9,0,0,9,0,0,2,0,0,1,0,6,1,Spring,2024,0
ACCT:D073.:64Z,FRAUD DETECTION AND DETERRENCE,John Lord,,17,18,2,0,3,0,0,0,0,0,0,0,1,0,Spring,2024,0
ACCT:D074.:62Z,ACCOUNTING ETHICS,Alexis Gough,,0,23,3,0,6,0,0,1,0,0,0,0,2,0,Spring,2024,0
ACCT:D088.:64Z,EXCEL SPRDSHTS FOR ACCT,Amber Hatter,,13,1,1,0,2,5,1,0,0,0,0,0,0,3,Spring,2024,0
ACCT:D87AI:61Z,COMPTR ACCT PRGM I (QUICKBKS),Laurienne Hammond,,0,11,1,0,3,0,0,1,0,0,0,0,0,0,Spring,2024,0
ADMJ:D001.:01Y,INTRO TO ADMIN OF JUSTICE,James Suits,,2,4,5,5,5,4,4,1,0,2,0,0,0,1,Spring,2024,0
ADMJ:D003.:50Z,CONCEPTS OF CRIM LAW (CP 2),Amir Alem,,0,1,3,2,4,3,3,2,0,0,1,1,4,0,Spring,2024,0
ADMJ:D005.:1,COMMUNITY RELATIONS,Ramona Gabriel,,1,3,3,1,0,3,0,0,0,0,0,0,0,0,Spring,2024,0
ADMJ:D006.:1,"CRIME, CORRECTION AND SOCIETY",Ramona Gabriel,,3,5,5,3,0,5,0,0,0,0,0,0,3,1,Spring,2024,0
ADMJ:D025.:01Y,LAW AND SOCIAL CHANGE,James Suits,,6,3,0,2,0,3,0,0,0,0,1,1,3,1,Spring,2024,0
ADMJ:D029.:64Z,ETHN STUD/CUL PLUR/AMER LAW,Meghan Kensler,,0,28,0,0,6,0,0,1,0,0,0,0,1,1,Spring,2024,0
ADMJ:D056.:01Z,PRACT WRIT FOR ADMJ,DuJuan Green,,8,3,1,0,2,0,0,0,0,0,0,0,15,0,Spring,2024,0
ADMJ:D061.:01Y,CRIMINAL INVESTIGATION,Jeremiah Garrido,,12,6,1,0,1,2,1,2,0,0,2,0,1,0,Spring,2024,0
ADMJ:D062.:1,SEX ASSLT POL/COMM RESPONSE,Ramona Gabriel,,0,4,4,4,1,0,0,0,0,0,0,0,3,12,Spring,2024,0
ADMJ:D073.:1,CRIME AND CRIMINOLOGY,Ramona Gabriel,,0,0,3,1,0,3,0,0,0,0,0,0,2,2,Spring,2024,0
ADMJ:D075.:01Y,PRIN AND PROCED OF JUST SYST,James Suits,,3,1,1,2,2,2,3,2,0,0,1,0,2,0,Spring,2024,0
ADMJ:D090A:01Z,LEGAL ASPECTS OF EVIDNCE (CP4),Griffin Bonini,,6,8,5,3,4,0,0,0,0,0,0,0,6,2,Spring,2024,0
AFAM:D010.:01Z,INTRO AFRIC/AMER STDS,Julie Keiffer-Lewis,,8,4,0,1,1,0,0,0,0,0,0,0,0,8,Spring,2024,0
AFAM:D010.:1UM,INTRO AFRIC/AMER STDS,Julie Keiffer-Lewis,,0,3,3,1,4,0,0,3,0,0,2,0,0,8,Spring,2024,0
AFAM:D010.:50Z,INTRO AFRIC/AMER STDS,Julie Keiffer-Lewis,,4,27,3,6,0,3,0,1,0,0,0,0,5,2,Spring,2024,0
AFAM:D010.:60Z,INTRO AFRIC/AMER STDS,Julie Keiffer-Lewis,,3,29,2,3,3,0,1,0,0,0,0,0,1,10,Spring,2024,0
AFAM:D010.:61Z,INTRO AFRIC/AMER STDS,Julie Keiffer-Lewis,,1,24,1,3,4,0,0,1,0,0,0,0,2,15,Spring,2024,0
ANTH:D001.:01Y,PHYS ANTHRO,Amanda Feldman,,13,18,3,2,5,1,2,1,0,0,0,0,0,0,Spring,2024,0
ANTH:D001.:02Y,PHYS ANTHRO,Ameeta Tiwana,,0,32,0,0,9,0,0,3,0,0,0,0,1,3,Spring,2024,0
ANTH:D001.:50Z,PHYS ANTHRO,Ameeta Tiwana,,0,31,0,0,7,0,0,5,0,0,1,0,2,4,Spring,2024,0
ANTH:D001.:51Z,PHYS ANTHRO,Ameeta Tiwana,,0,24,0,0,13,0,0,2,0,0,0,0,5,4,Spring,2024,0
ANTH:D001.:52Z,PHYS ANTHRO,Amanda Feldman,,7,14,4,1,3,1,0,0,0,1,0,0,12,2,Spring,2024,0
ANTH:D001.:53Z,PHYS ANTHRO,Emily Beggs,,15,27,3,3,0,0,0,0,0,0,0,0,0,0,Spring,2024,0
ANTH:D001.:54Z,PHYS ANTHRO,Leslie Berry,,0,38,0,0,5,0,0,0,0,0,0,0,3,0,Spring,2024,0
ANTH:D001.:55Z,PHYS ANTHRO,Julie Hui,,0,8,0,5,13,0,4,2,0,0,1,0,2,12,Spring,2024,0
ANTH:D001.:56Z,PHYS ANTHRO,Amanda Feldman,,8,11,1,3,2,0,1,1,0,0,0,0,6,1,Spring,2024,0
